x,y,z,m
504.6875,182.2375,134.4416,1
504.6875,182.2375,140.4031,2
513.6668,188.35,140.4031,3
513.6668,188.35,134.4416,4
522.0665,194.675,140.4031,5
522.0665,194.675,134.4416,6
531.3063,200.5125,140.4031,7
531.3063,200.5125,134.4416,8
592.0993,244.3875,134.4416,9
592.0993,244.3875,140.4031,10
601.374,250.4875,140.4031,1
601.374,250.4875,134.4416,2
610.1239,256.0125,140.4031,3
610.1239,256.0125,134.4416,4
618.8735,262.25,140.4031,5
618.8735,262.25,134.4416,6
627.4482,268.3375,140.4031,7
627.4482,268.3375,134.4416,8
636.373,274.25,140.4031,9
636.373,274.25,134.4416,10
644.9477,280.0875,140.4031,1
644.9477,280.0875,134.4416,2
653.8725,286.375,140.4031,3
653.8725,286.375,134.4416,4
662.2721,291.825,140.4031,5
662.2721,291.825,134.4416,6
671.1969,298.475,140.4031,7
671.1969,298.475,134.4416,8
679.7717,306.475,140.4031,9
679.7717,306.475,134.4416,10
688.5213,312.75,140.4031,1
688.5213,312.75,134.4416,2
697.4461,318.325,140.4031,3
697.4461,318.325,134.4416,4
704.2021,324.9625,140.4031,5
704.2021,324.9625,134.4416,6
504.6875,182.2375,127.6606,7
513.6668,188.35,127.6606,8
522.0665,194.675,127.6606,9
531.3063,200.5125,127.6606,10
592.0993,244.3875,127.6606,1
601.374,250.4875,127.6606,2
610.1239,256.0125,127.6606,3
618.8735,262.25,127.6606,4
627.4482,268.3375,127.6606,5
636.373,274.25,127.6606,6
644.9477,280.0875,127.6606,7
653.8725,286.375,127.6606,8
662.2721,291.825,127.6606,9
671.1969,298.475,127.6606,10
679.7717,306.475,127.6606,1
688.5213,312.75,127.6606,2
697.4461,318.325,127.6606,3
704.2021,324.9625,127.6606,4
504.6875,182.2375,121.5357,5
513.6668,188.35,121.5357,6
522.0665,194.675,121.5357,7
531.3063,200.5125,121.5357,8
592.0993,244.3875,121.5357,9
601.374,250.4875,121.5357,10
610.1239,256.0125,121.5357,1
618.8735,262.25,121.5357,2
627.4482,268.3375,121.5357,3
636.373,274.25,121.5357,4
644.9477,280.0875,121.5357,5
653.8725,286.375,121.5357,6
662.2721,291.825,121.5357,7
671.1969,298.475,121.5357,8
679.7717,306.475,121.5357,9
688.5213,312.75,121.5357,10
697.4461,318.325,121.5357,1
704.2021,324.9625,121.5357,2
504.6875,182.2375,115.4109,3
513.6668,188.35,115.4109,4
522.0665,194.675,115.4109,5
531.3063,200.5125,115.4109,6
540.266,205.7625,121.5357,7
540.266,205.7625,115.4109,8
548.9457,212.2375,121.5357,9
548.9457,212.2375,115.4109,10
